"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_Andersson_10142021_ST_F3_10x10",0.100741537480601,0.0553165332216772,0.026820956698387,0.0543044969999701,0.0519407362670203,0.129141069732148,0.0602427395289746,0.078516227921129,0.442975702150094,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x11",0.0474733861816177,0.0661516098778977,0.0141127825977532,0.0222228075436754,0.0665605135079067,0.166966474049072,0.0137884707705203,0.297551010004074,0.305172945467482,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x12",0.0854930006899732,0.0433950547479866,0.0129821508746267,0.0339719737783243,0.0655012959953826,0.151553181461224,0.0377871896760736,0.153312112045372,0.416004040731037,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x13",0.100604887061761,0.0759387008048472,0.0129955316724979,0.0411475564183156,0.0870498208783449,0.167590473992592,0.0205904736755392,0.10697088101061,0.387111674485491,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x14",0.0977919805740657,0.0486244224562663,0.0083023008077007,0.0112155334948292,0.059300227285811,0.14736033968222,0.0631591643685253,0.052345066086771,0.511900965243811,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x15",0.0619912113836409,0.0391322676781117,0.0142968515762974,0.0248485522547029,0.0755971497997125,0.144348550704874,0.0332093888249967,0.00928971592334765,0.597286311854316,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x16",0.0604958661926225,0.0558765721738833,0.00853439527007963,0.0139773573440923,0.0893184430614571,0.126031797312721,0.0494056679452227,0.110470807162021,0.485889093537901,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x17",0.0977739260090563,0.0792993178887315,0.0238867742136614,0.0308517289381151,0.0704659207876806,0.107772889491328,0.0408975436389008,0.0772079013925686,0.471843997639957,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x18",0.0532518054572618,0.04776592120936,0.0178751725789012,0.0151613167635566,0.0709932871250725,0.15604119826274,0.0675737219191508,0.0944565034712477,0.476881073212709,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x19",0.0554028820704614,0.0627077666806654,0.0163016317023443,0.0367090783267054,0.102354163088095,0.280913031772305,0.0371840375282922,0.0326171476538352,0.375810261177296,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x20",0.097107648379058,0.0700945589418119,0.0215223576094756,0.0219202864669334,0.0895339826633399,0.128159537067739,0.0344891418251261,0.115675511070944,0.421496975975572,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x21",0.0708976774169863,0.0440675062486421,0.0103387318173951,0.0305948437896702,0.0490179144822474,0.18870858258437,0.050240981676824,0.0870703070456715,0.469063454938194,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x22",0.0564229155087724,0.0231948435107335,0.0211137898771545,0.0492173927991089,0.0203699367122395,0.0923489985954247,0.0594425458942515,0.0642254095984403,0.613664167503875,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x23",0.0722728738248042,0.0889474103881162,0.00970035405873977,0.0265497947325607,0.0725973313036974,0.210472236648353,0.0400237899944769,0.092512004816333,0.386924204232919,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x24",0.0761871205969026,0.0478629878010245,0.0216139208479934,0.0334804877870901,0.0650834331578898,0.26800338182086,0.0236248139954038,0.184537430532997,0.27960642345984,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x25",0.0683665016308061,0.0827680627533883,0.0219001531817697,0.0155465131693602,0.0573238700958626,0.291182850648229,0.0277022204379215,0.146895069621503,0.28831475846116,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x28",0.0762430967293905,0.0683584382901492,0.0194212520092374,0.0142272093394011,0.0403368506175462,0.212067814661379,0.0129843714452713,0.290767732204642,0.265593234702983,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x29",0.046702294050829,0.0830342930541292,0.016903818203034,0.0458215606129924,0.0687428885217772,0.175176080261898,0.0369570683091439,0.217449544757591,0.309212452228605,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x30",0.0569704963365937,0.0476590153727721,0.0219563827944208,0.0263304187244973,0.0589391098193998,0.192327412358101,0.0415575225084594,0.253891050626377,0.300368591459379,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x31",0.0788321979282364,0.0487401056574079,0.00867935648868301,0.022108241351385,0.0659659882394671,0.130283553088189,0.0595837648175204,0.219910000050412,0.365896792378699,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x32",0.0637536155952456,0.0765294815322906,0.0105194444380621,0.0508712352530374,0.204178760203133,0.148251694863368,0.0299524910797151,0.055162397170526,0.360780879864623,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x33",0.0547943400804239,0.0573213928397326,0.0133080823566062,0.00669544765020861,0.0644157337322595,0.161811163136632,0.0526332694986586,0.331218437163761,0.257802133541717,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x34",0.0818625707121046,0.062684199061104,0.0200573054129402,0.0360052787569559,0.145815458010879,0.209605073968236,0.0394409647253906,0.101582263580451,0.302946885771939,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x4",0.107050114450928,0.0720963775505377,0.0313779241693525,0.0291421369281475,0.0459066589060322,0.13934946424984,0.0532827133312473,0.078759114599888,0.443035495814027,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x5",0.0608297724734829,0.06091072276919,0.0151506425338677,0.0331465881781317,0.0786338170434475,0.107600309364738,0.0443329449874629,0.218660501792357,0.380734700857322,"Human_Breast_Andersson_10142021_ST_F3"
"Human_Breast_Andersson_10142021_ST_F3_10x6",0.0719744338027919,0.0474608005598727,0.0133208096464535,0.0329549005701203,0.129593575380153,0.130066990775698,0.0423109523413116,0.0790812252226024,0.453236311700997,"Human_Breast_Andersson_10142021_ST_F3"
